Country,Dystopia_Residual
Finland,2.7140000000000004
Denmark,2.3939999999999992
Norway,2.2409999999999988
Iceland,2.400999999999999
Netherlands,2.3939999999999992
Switzerland,2.272000000000001
Sweden,2.2459999999999996
New Zealand,2.1260000000000003
Canada,2.1919999999999993
Austria,2.3770000000000007
Australia,2.093
Costa Rica,2.934000000000001
Israel,2.664999999999999
Luxembourg,1.9540000000000006
United Kingdom,2.110999999999999
Ireland,1.846
Germany,2.1500000000000004
Belgium,2.233999999999999
United States,2.266
Czech Republic,2.6370000000000005
United Arab Emirates,2.1450000000000005
Malta,1.8170000000000002
Mexico,2.7609999999999997
France,2.021000000000001
Taiwan,2.0439999999999996
Chile,2.396
Guatemala,2.833
Saudi Arabia,2.1690000000000005
Qatar,1.564
Spain,1.9280000000000008
Panama,2.141
Brazil,2.4799999999999995
Uruguay,2.012999999999999
Singapore,0.806
El Salvador,2.830999999999999
Italy,1.9829999999999988
Bahrain,1.6969999999999992
Slovakia,2.098
Trinidad & Tobago,2.0810000000000004
Poland,2.0040000000000004
Uzbekistan,1.9509999999999996
Lithuania,2.202
Colombia,2.2860000000000005
Slovenia,1.6189999999999989
Nicaragua,2.489
Kosovo,2.471
Argentina,2.0940000000000007
Romania,2.3009999999999997
Cyprus,1.8810000000000002
Ecuador,2.2249999999999996
Kuwait,1.661999999999999
Thailand,1.7769999999999992
Latvia,2.0729999999999995
South Korea,1.9489999999999998
Estonia,1.495
Jamaica,2.1249999999999996
Mauritius,1.794999999999999
Japan,1.3980000000000006
Honduras,2.3230000000000004
Kazakhstan,1.7469999999999999
Bolivia,2.376
Hungary,2.0189999999999997
Paraguay,1.8579999999999988
Northern Cyprus,1.391000000000001
Peru,2.0439999999999996
Portugal,1.4619999999999989
Pakistan,2.9239999999999995
Russia,1.8399999999999999
Philippines,2.092
Serbia,1.9039999999999995
Moldova,2.351
Libya,1.8039999999999998
Montenegro,1.8209999999999997
Tajikistan,2.395000000000001
Croatia,1.6600000000000001
Hong Kong,0.6079999999999988
Dominican Republic,1.5190000000000001
Bosnia and Herzegovina,1.9030000000000005
Turkey,1.6379999999999995
Malaysia,1.327
Belarus,1.5309999999999997
Greece,1.850000000000001
Mongolia,1.5490000000000004
North Macedonia,1.5950000000000002
Nigeria,2.5309999999999997
Kyrgyzstan,1.718
Turkmenistan,1.3340000000000005
Algeria,1.9910000000000005
Morocco,2.312999999999999
Azerbaijan,1.6809999999999992
Lebanon,1.762
Indonesia,1.3810000000000002
China,1.4650000000000003
Vietnam,1.4740000000000002
Bhutan,1.35
Cameroon,2.6489999999999996
Bulgaria,1.1949999999999998
Ghana,2.365
Ivory Coast,2.7390000000000003
Nepal,1.751
Jordan,1.4060000000000006
Benin,3.05
Congo (Brazzaville),2.2620000000000005
Gabon,1.5949999999999989
Laos,1.4739999999999998
South Africa,1.3679999999999999
Albania,1.4619999999999993
Venezuela,1.25
Cambodia,1.4640000000000004
Palestinian Territories,1.7260000000000004
Senegal,2.009
Somalia,2.6300000000000003
Namibia,1.4429999999999992
Niger,2.742
Burkina Faso,2.275
Armenia,1.3970000000000002
Iran,1.1209999999999996
Guinea,2.3249999999999997
Georgia,1.662
Gambia,2.023
Kenya,1.5769999999999995
Mauritania,2.0040000000000004
Mozambique,2.0570000000000004
Tunisia,1.4440000000000004
Bangladesh,1.4070000000000005
Iraq,1.3620000000000005
Congo (Kinshasa),2.3080000000000003
Mali,2.0599999999999996
Sierra Leone,2.417
Sri Lanka,0.5600000000000005
Myanmar,0.6509999999999998
Chad,2.5919999999999996
Ukraine,1.0080000000000005
Ethiopia,1.7320000000000002
Swaziland,1.7299999999999995
Uganda,1.6770000000000005
Egypt,1.186
Zambia,1.2799999999999998
Togo,2.2729999999999997
India,1.1239999999999997
Liberia,1.9010000000000002
Comoros,1.9420000000000002
Madagascar,1.83
Lesotho,1.4170000000000003
Burundi,2.326
Zimbabwe,1.1490000000000005
Haiti,1.5819999999999999
Botswana,0.18400000000000016
Syria,1.54
Malawi,1.4140000000000001
Yemen,1.1389999999999998
Rwanda,0.46699999999999964
Tanzania,0.5310000000000001
Afghanistan,1.7920000000000005
Central African Republic,2.4570000000000003
South Sudan,1.3740000000000003
