Country,Generosity
Finland,0.20199999999999999
Norway,0.28600000000000003
Denmark,0.284
Iceland,0.353
Switzerland,0.256
Netherlands,0.33299999999999996
Canada,0.321
New Zealand,0.365
Sweden,0.285
Australia,0.361
United Kingdom,0.262
Austria,0.242
Costa Rica,0.14300000000000002
Ireland,0.307
Germany,0.273
Belgium,0.188
Luxembourg,0.196
United States,0.29100000000000004
Israel,0.354
United Arab Emirates,0.18600000000000003
Czech Republic,0.064
Malta,0.376
France,0.098
Mexico,0.069
Chile,0.19699999999999998
Taiwan,0.151
Panama,0.125
Brazil,0.11
Argentina,0.062
Guatemala,0.179
Uruguay,0.13
Qatar,0.256
Saudi Arabia,0.098
Singapore,0.261
Malaysia,0.311
Spain,0.142
Colombia,0.099
Trinidad & Tobago,0.171
Slovakia,0.11800000000000001
El Salvador,0.065
Nicaragua,0.20800000000000002
Poland,0.10800000000000001
Bahrain,0.243
Uzbekistan,0.32799999999999996
Kuwait,0.16699999999999998
Thailand,0.364
Italy,0.13699999999999998
Ecuador,0.114
Belize,0.183
Lithuania,0.026000000000000002
Slovenia,0.16
Romania,0.08800000000000001
Latvia,0.092
Japan,0.079
Mauritius,0.245
Jamaica,0.096
South Korea,0.175
Northern Cyprus,0.179
Russia,0.065
Kazakhstan,0.14800000000000002
Cyprus,0.20199999999999999
Bolivia,0.141
Estonia,0.086
Paraguay,0.162
Peru,0.092
Kosovo,0.27399999999999997
Moldova,0.171
Turkmenistan,0.19899999999999998
Hungary,0.061
Libya,0.11599999999999999
Philippines,0.12
Honduras,0.19699999999999998
Belarus,0.10099999999999999
Turkey,0.106
Pakistan,0.21600000000000003
Hong Kong,0.24600000000000002
Portugal,0.055
Serbia,0.134
Greece,0.0
Lebanon,0.214
Montenegro,0.111
Croatia,0.12
Dominican Republic,0.12
Algeria,0.055
Morocco,0.026000000000000002
China,0.028999999999999998
Azerbaijan,0.031
Tajikistan,0.187
Macedonia,0.17300000000000001
Jordan,0.13
Nigeria,0.201
Kyrgyzstan,0.281
Bosnia and Herzegovina,0.21600000000000003
Mongolia,0.253
Vietnam,0.177
Indonesia,0.484
Bhutan,0.364
Somalia,0.23800000000000002
Cameroon,0.183
Bulgaria,0.064
Nepal,0.302
Venezuela,0.055999999999999994
Gabon,0.032
Palestinian Territories,0.086
South Africa,0.10300000000000001
Iran,0.282
Ivory Coast,0.146
Ghana,0.212
Senegal,0.138
Laos,0.23
Tunisia,0.04
Albania,0.149
Sierra Leone,0.23800000000000002
Congo (Brazzaville),0.091
Bangladesh,0.153
Sri Lanka,0.307
Iraq,0.14800000000000002
Mali,0.139
Namibia,0.051
Cambodia,0.256
Burkina Faso,0.175
Egypt,0.092
Mozambique,0.20600000000000002
Kenya,0.35200000000000004
Zambia,0.221
Mauritania,0.134
Ethiopia,0.22
Georgia,0.038
Armenia,0.077
Myanmar,0.598
Chad,0.18100000000000002
Congo (Kinshasa),0.19699999999999998
India,0.172
Niger,0.175
Uganda,0.259
Benin,0.163
Sudan,0.134
Ukraine,0.187
Togo,0.158
Guinea,0.185
Lesotho,0.11599999999999999
Angola,0.079
Madagascar,0.155
Zimbabwe,0.132
Afghanistan,0.191
Botswana,0.042
Malawi,0.21
Haiti,0.392
Liberia,0.20600000000000002
Syria,0.376
Rwanda,0.2
Yemen,0.083
Tanzania,0.27
South Sudan,0.22399999999999998
Central African Republic,0.218
Burundi,0.149
