Country,Economy
Switzerland,1.3965100000000001
Iceland,1.3023200000000001
Denmark,1.32548
Norway,1.459
Canada,1.32629
Finland,1.29025
Netherlands,1.32944
Sweden,1.33171
New Zealand,1.2501799999999998
Australia,1.33358
Israel,1.2285700000000002
Costa Rica,0.95578
Austria,1.33723
Mexico,1.02054
United States,1.3945100000000001
Brazil,0.98124
Luxembourg,1.5639100000000001
Ireland,1.33596
Belgium,1.30782
United Arab Emirates,1.42727
United Kingdom,1.26637
Oman,1.36011
Venezuela,1.04424
Singapore,1.52186
Panama,1.0635299999999999
Germany,1.32792
Chile,1.10715
Qatar,1.69042
France,1.27778
Argentina,1.05351
Czech Republic,1.17898
Uruguay,1.06166
Colombia,0.91861
Thailand,0.9669
Saudi Arabia,1.39541
Spain,1.23011
Malta,1.2074
Taiwan,1.29098
Kuwait,1.5542200000000002
Suriname,0.99534
Trinidad and Tobago,1.21183
El Salvador,0.76454
Guatemala,0.74553
Uzbekistan,0.63244
Slovakia,1.1689100000000001
Japan,1.27074
South Korea,1.24461
Ecuador,0.8640200000000001
Bahrain,1.32376
Italy,1.25114
Bolivia,0.68133
Moldova,0.59448
Paraguay,0.75985
Kazakhstan,1.1225399999999999
Slovenia,1.18498
Lithuania,1.14723
Nicaragua,0.59325
Peru,0.9001899999999999
Belarus,1.0319200000000002
Poland,1.12555
Malaysia,1.12486
Croatia,1.08254
Libya,1.13145
Russia,1.13764
Jamaica,0.81038
North Cyprus,1.2080600000000001
Cyprus,1.20813
Algeria,0.93929
Kosovo,0.80148
Turkmenistan,0.95847
Mauritius,1.0076100000000001
Hong Kong,1.38604
Estonia,1.15174
Indonesia,0.8282700000000001
Vietnam,0.63216
Turkey,1.06098
Kyrgyzstan,0.47428000000000003
Nigeria,0.65435
Bhutan,0.77042
Azerbaijan,1.02389
Pakistan,0.59543
Jordan,0.9019799999999999
Montenegro,0.9743799999999999
China,0.89012
Zambia,0.47038
Romania,1.04345
Serbia,0.92053
Portugal,1.15991
Latvia,1.11312
Philippines,0.70532
Somaliland region,0.18847
Morocco,0.7347899999999999
Macedonia,0.91851
Mozambique,0.08308
Albania,0.8786700000000001
Bosnia and Herzegovina,0.8322299999999999
Lesotho,0.37545
Dominican Republic,0.8953700000000001
Laos,0.5906600000000001
Mongolia,0.82819
Swaziland,0.71206
Greece,1.15406
Lebanon,1.0256399999999999
Hungary,1.12094
Honduras,0.59532
Tajikistan,0.39047
Tunisia,0.88113
Palestinian Territories,0.59867
Bangladesh,0.39753
Iran,1.0088
Ukraine,0.79907
Iraq,0.98549
South Africa,0.9204899999999999
Ghana,0.5455800000000001
Zimbabwe,0.271
Liberia,0.0712
India,0.64499
Sudan,0.52107
Haiti,0.26673
Congo (Kinshasa),0.0
Nepal,0.35996999999999996
Ethiopia,0.19072999999999998
Sierra Leone,0.33024000000000003
Mauritania,0.45407
Kenya,0.36471
Djibouti,0.44025
Armenia,0.7682100000000001
Botswana,0.99355
Myanmar,0.27108000000000004
Georgia,0.7419
Malawi,0.016040000000000002
Sri Lanka,0.83524
Cameroon,0.4225
Bulgaria,1.01216
Egypt,0.8818
Yemen,0.5464899999999999
Angola,0.75778
Mali,0.26074
Congo (Brazzaville),0.67866
Comoros,0.23906
Uganda,0.21101999999999999
Senegal,0.36498
Gabon,1.06024
Niger,0.0694
Cambodia,0.46038
Tanzania,0.2852
Madagascar,0.20824
Central African Republic,0.0785
Chad,0.34193
Guinea,0.17417
Ivory Coast,0.46534
Burkina Faso,0.25811999999999996
Afghanistan,0.31982
Rwanda,0.22208000000000003
Benin,0.28665
Syria,0.6632
Burundi,0.0153
Togo,0.20868
