Country,Economy
Norway,1.6164631843566901
Denmark,1.48238301277161
Iceland,1.480633020401
Switzerland,1.5649795532226598
Finland,1.44357192516327
Netherlands,1.50394463539124
Canada,1.47920441627502
New Zealand,1.40570604801178
Sweden,1.49438726902008
Australia,1.4844149351120002
Israel,1.3753824234008798
Costa Rica,1.10970628261566
Austria,1.4870972633361799
United States,1.54625928401947
Ireland,1.5357066392898602
Germany,1.48792338371277
Belgium,1.4637807607650801
Luxembourg,1.74194359779358
United Kingdom,1.44163393974304
Chile,1.25278460979462
United Arab Emirates,1.6263433694839498
Brazil,1.1073532104492199
Czech Republic,1.35268235206604
Argentina,1.18529546260834
Mexico,1.1531838178634601
Singapore,1.69227766990662
Malta,1.34327983856201
Uruguay,1.2175596952438401
Guatemala,0.872001945972443
Panama,1.23374843597412
France,1.43092346191406
Thailand,1.12786877155304
Taiwan Province of China,1.4336265325546298
Spain,1.38439786434174
Qatar,1.8707656860351598
Colombia,1.07062232494354
Saudi Arabia,1.53062355518341
Trinidad and Tobago,1.36135590076447
Kuwait,1.63295245170593
Slovakia,1.32539355754852
Bahrain,1.4884122610092199
Malaysia,1.29121541976929
Nicaragua,0.737299203872681
Ecuador,1.00082039833069
El Salvador,0.9097844958305359
Poland,1.29178786277771
Uzbekistan,0.786441087722778
Italy,1.3950666189193701
Russia,1.28177809715271
Belize,0.907975316047668
Japan,1.41691517829895
Lithuania,1.3145823478698702
Algeria,1.09186446666718
Latvia,1.26074862480164
South Korea,1.40167844295502
Moldova,0.7288706302642819
Romania,1.21768391132355
Bolivia,0.833756566047668
Turkmenistan,1.1307767629623402
Kazakhstan,1.2845562696456898
North Cyprus,1.3469113111496
Slovenia,1.3412059545516999
Peru,1.0352252721786501
Mauritius,1.1893955469131499
Cyprus,1.3559380769729599
Estonia,1.3208793401718102
Belarus,1.15655755996704
Libya,1.1018030643463101
Turkey,1.1982743740081798
Paraguay,0.932537317276001
"Hong Kong S.A.R., China",1.55167484283447
Philippines,0.85769921541214
Serbia,1.06931757926941
Jordan,0.9910123944282528
Hungary,1.2860119342803997
Jamaica,0.925579309463501
Croatia,1.22255623340607
Kosovo,0.951484382152557
China,1.08116579055786
Pakistan,0.7268835306167599
Indonesia,0.995538592338562
Venezuela,1.12843120098114
Montenegro,1.12112903594971
Morocco,0.8781145811080929
Azerbaijan,1.1536017656326298
Dominican Republic,1.07937383651733
Greece,1.28948748111725
Lebanon,1.07498753070831
Portugal,1.3151752948761002
Bosnia and Herzegovina,0.982409417629242
Honduras,0.730573117733002
Macedonia,1.06457793712616
Somalia,0.0226431842893362
Vietnam,0.7885475754737851
Nigeria,0.783756256103516
Tajikistan,0.524713635444641
Bhutan,0.885416388511658
Kyrgyzstan,0.5962200760841371
Nepal,0.479820191860199
Mongolia,1.0272358655929599
South Africa,1.05469870567322
Tunisia,1.00726580619812
Palestinian Territories,0.716249227523804
Egypt,0.989701807498932
Bulgaria,1.1614590883255
Sierra Leone,0.36842092871666
Cameroon,0.564305365085602
Iran,1.15687310695648
Albania,0.996192753314972
Bangladesh,0.586682975292206
Namibia,0.964434325695038
Kenya,0.560479462146759
Mozambique,0.23430564999580397
Myanmar,0.36711055040359497
Senegal,0.479309022426605
Zambia,0.6364067792892459
Iraq,1.1027104854583702
Gabon,1.1982102394104
Ethiopia,0.339233845472336
Sri Lanka,1.00985014438629
Armenia,0.900596737861633
India,0.7922212481498722
Mauritania,0.6484572887420649
Congo (Brazzaville),0.8089642524719242
Georgia,0.950612664222717
Congo (Kinshasa),0.0921023488044739
Mali,0.476180493831635
Ivory Coast,0.6030489206314089
Cambodia,0.6017650961875921
Sudan,0.6595166921615601
Ghana,0.667224824428558
Ukraine,0.89465194940567
Uganda,0.381430715322495
Burkina Faso,0.35022771358490007
Niger,0.16192533075809498
Malawi,0.233442038297653
Chad,0.43801298737525896
Zimbabwe,0.37584653496742204
Lesotho,0.521021246910095
Angola,0.8584281802177429
Afghanistan,0.401477217674255
Botswana,1.12209415435791
Benin,0.43108540773391707
Madagascar,0.305808693170547
Haiti,0.368610262870789
Yemen,0.5916834473609921
South Sudan,0.39724862575531
Liberia,0.11904179304838199
Guinea,0.24454993009567302
Togo,0.30544471740722695
Rwanda,0.368745893239975
Syria,0.777153134346008
Tanzania,0.511135876178741
Burundi,0.09162256866693501
Central African Republic,0.0
