Country,Dystopia_Residual
Finland,2.585000000000001
Norway,2.382999999999999
Denmark,2.3709999999999996
Iceland,2.426
Switzerland,2.3179999999999996
Netherlands,2.4479999999999995
Canada,2.3049999999999997
New Zealand,2.1559999999999997
Sweden,2.218
Australia,2.1390000000000002
United Kingdom,2.817000000000001
Austria,2.3199999999999994
Costa Rica,2.9099999999999993
Ireland,1.842999999999999
Germany,2.151
Belgium,2.215
Luxembourg,1.769000000000001
United States,2.2270000000000003
Israel,1.912
United Arab Emirates,
Czech Republic,2.4940000000000007
Malta,1.7850000000000001
France,2.0279999999999996
Mexico,2.793999999999999
Chile,2.5170000000000003
Taiwan,2.1359999999999992
Panama,2.3359999999999994
Brazil,2.593
Argentina,2.417
Guatemala,2.8710000000000004
Uruguay,2.146
Qatar,1.592999999999999
Saudi Arabia,2.2940000000000005
Singapore,1.0060000000000002
Malaysia,2.508
Spain,1.891
Colombia,2.5569999999999995
Trinidad & Tobago,2.1479999999999997
Slovakia,2.1639999999999997
El Salvador,2.883000000000001
Nicaragua,2.5909999999999997
Poland,1.9999999999999991
Bahrain,1.7430000000000003
Uzbekistan,1.8769999999999998
Kuwait,1.8059999999999992
Thailand,1.9020000000000001
Italy,1.8430000000000009
Ecuador,2.2279999999999998
Belize,2.709000000000001
Lithuania,2.130000000000001
Slovenia,1.5229999999999988
Romania,2.2670000000000003
Latvia,2.1390000000000002
Japan,1.3889999999999993
Mauritius,1.851
Jamaica,2.1829999999999994
South Korea,1.9800000000000004
Northern Cyprus,1.6579999999999995
Russia,2.0919999999999996
Kazakhstan,1.7770000000000001
Cyprus,1.7730000000000006
Bolivia,2.469000000000001
Estonia,1.456999999999999
Paraguay,1.9320000000000008
Peru,2.149999999999999
Kosovo,2.254000000000001
Moldova,2.6590000000000003
Turkmenistan,1.9169999999999998
Hungary,1.9740000000000002
Libya,1.9179999999999997
Philippines,2.0560000000000005
Honduras,2.3269999999999995
Belarus,1.6839999999999997
Turkey,1.7300000000000004
Pakistan,2.923
Hong Kong,0.6439999999999984
Portugal,1.2750000000000004
Serbia,1.9039999999999995
Greece,1.948
Lebanon,1.5759999999999992
Montenegro,1.871
Croatia,1.7690000000000006
Dominican Republic,1.4610000000000007
Algeria,2.2079999999999997
Morocco,2.449
China,1.5870000000000002
Azerbaijan,1.7759999999999998
Tajikistan,2.4480000000000004
Macedonia,1.6769999999999992
Jordan,1.697000000000001
Nigeria,2.551
Kyrgyzstan,1.7349999999999999
Bosnia and Herzegovina,1.8819999999999988
Mongolia,1.4389999999999996
Vietnam,1.4469999999999996
Indonesia,1.4170000000000003
Bhutan,1.3480000000000003
Somalia,2.961
Cameroon,2.687
Bulgaria,1.2199999999999998
Nepal,1.782
Venezuela,1.443
Gabon,1.714
Palestinian Territories,1.8540000000000005
South Africa,1.3690000000000002
Iran,1.3159999999999998
Ivory Coast,2.462
Ghana,2.092
Senegal,2.0260000000000002
Laos,1.3980000000000006
Tunisia,1.7219999999999995
Albania,1.463
Sierra Leone,2.8560000000000008
Congo (Brazzaville),2.0410000000000004
Bangladesh,1.662
Sri Lanka,0.625
Iraq,1.3920000000000003
Mali,2.13
Namibia,1.286999999999999
Cambodia,1.322
Burkina Faso,2.1439999999999997
Egypt,1.4449999999999994
Mozambique,2.2489999999999997
Kenya,1.5040000000000004
Zambia,1.6669999999999998
Mauritania,1.9060000000000001
Ethiopia,1.8829999999999996
Georgia,1.624
Armenia,1.4840000000000004
Myanmar,0.6669999999999998
Chad,2.553
Congo (Kinshasa),2.2750000000000004
India,1.4330000000000003
Niger,2.2830000000000004
Uganda,1.7420000000000004
Benin,2.481
Sudan,1.7499999999999996
Ukraine,0.927
Togo,2.32
Guinea,1.944
Lesotho,1.391
Angola,1.5309999999999997
Madagascar,1.7769999999999995
Zimbabwe,1.3559999999999994
Afghanistan,2.1959999999999997
Botswana,0.2909999999999995
Malawi,1.7329999999999997
Haiti,1.7429999999999999
Liberia,1.639
Syria,1.2439999999999993
Rwanda,0.49999999999999956
Yemen,1.1059999999999999
Tanzania,0.6280000000000001
South Sudan,1.6899999999999995
Central African Republic,2.4880000000000004
Burundi,1.7519999999999998
