Country,Happiness_Score,Happiness_Rank
Switzerland,7.587000000000001,1
Iceland,7.561,2
Denmark,7.527,3
Norway,7.522,4
Canada,7.4270000000000005,5
Finland,7.406000000000001,6
Netherlands,7.377999999999999,7
Sweden,7.364,8
New Zealand,7.2860000000000005,9
Australia,7.284,10
Israel,7.278,11
Costa Rica,7.226,12
Austria,7.2,13
Mexico,7.187,14
United States,7.119,15
Brazil,6.983,16
Luxembourg,6.946000000000001,17
Ireland,6.94,18
Belgium,6.937,19
United Arab Emirates,6.901,20
United Kingdom,6.867000000000001,21
Oman,6.853,22
Venezuela,6.81,23
Singapore,6.797999999999999,24
Panama,6.7860000000000005,25
Germany,6.75,26
Chile,6.67,27
Qatar,6.611000000000001,28
France,6.575,29
Argentina,6.574,30
Czech Republic,6.505,31
Uruguay,6.485,32
Colombia,6.477,33
Thailand,6.455,34
Saudi Arabia,6.4110000000000005,35
Spain,6.329,36
Malta,6.3020000000000005,37
Taiwan,6.297999999999999,38
Kuwait,6.295,39
Suriname,6.269,40
Trinidad and Tobago,6.167999999999999,41
El Salvador,6.13,42
Guatemala,6.122999999999999,43
Uzbekistan,6.002999999999999,44
Slovakia,5.995,45
Japan,5.987,46
South Korea,5.984,47
Ecuador,5.975,48
Bahrain,5.96,49
Italy,5.9479999999999995,50
Bolivia,5.89,51
Moldova,5.888999999999999,52
Paraguay,5.877999999999999,53
Kazakhstan,5.855,54
Slovenia,5.848,55
Lithuania,5.832999999999999,56
Nicaragua,5.827999999999999,57
Peru,5.824,58
Belarus,5.813,59
Poland,5.791,60
Malaysia,5.77,61
Croatia,5.7589999999999995,62
Libya,5.754,63
Russia,5.716,64
Jamaica,5.709,65
North Cyprus,5.695,66
Cyprus,5.689,67
Algeria,5.605,68
Kosovo,5.5889999999999995,69
Turkmenistan,5.547999999999999,70
Mauritius,5.477,71
Hong Kong,5.474,72
Estonia,5.428999999999999,73
Indonesia,5.399,74
Vietnam,5.36,75
Turkey,5.332000000000001,76
Kyrgyzstan,5.2860000000000005,77
Nigeria,5.268,78
Bhutan,5.252999999999999,79
Azerbaijan,5.212000000000001,80
Pakistan,5.194,81
Jordan,5.192,82
Montenegro,5.192,82
China,5.14,84
Zambia,5.129,85
Romania,5.124,86
Serbia,5.122999999999999,87
Portugal,5.102,88
Latvia,5.098,89
Philippines,5.073,90
Somaliland region,5.0569999999999995,91
Morocco,5.013,92
Macedonia,5.007,93
Mozambique,4.971,94
Albania,4.959,95
Bosnia and Herzegovina,4.949,96
Lesotho,4.898,97
Dominican Republic,4.885,98
Laos,4.876,99
Mongolia,4.874,100
Swaziland,4.867,101
Greece,4.857,102
Lebanon,4.8389999999999995,103
Hungary,4.8,104
Honduras,4.788,105
Tajikistan,4.7860000000000005,106
Tunisia,4.739,107
Palestinian Territories,4.715,108
Bangladesh,4.694,109
Iran,4.686,110
Ukraine,4.681,111
Iraq,4.677,112
South Africa,4.6419999999999995,113
Ghana,4.633,114
Zimbabwe,4.61,115
Liberia,4.571000000000001,116
India,4.565,117
Sudan,4.55,118
Haiti,4.518,119
Congo (Kinshasa),4.5169999999999995,120
Nepal,4.513999999999999,121
Ethiopia,4.512,122
Sierra Leone,4.507,123
Mauritania,4.436,124
Kenya,4.419,125
Djibouti,4.369,126
Armenia,4.35,127
Botswana,4.332,128
Myanmar,4.3069999999999995,129
Georgia,4.297,130
Malawi,4.292,131
Sri Lanka,4.271,132
Cameroon,4.252,133
Bulgaria,4.218,134
Egypt,4.194,135
Yemen,4.077,136
Angola,4.033,137
Mali,3.995,138
Congo (Brazzaville),3.989,139
Comoros,3.9560000000000004,140
Uganda,3.931,141
Senegal,3.904,142
Gabon,3.8960000000000004,143
Niger,3.845,144
Cambodia,3.819,145
Tanzania,3.781,146
Madagascar,3.681,147
Central African Republic,3.678,148
Chad,3.667,149
Guinea,3.656,150
Ivory Coast,3.655,151
Burkina Faso,3.5869999999999997,152
Afghanistan,3.575,153
Rwanda,3.465,154
Benin,3.34,155
Syria,3.0060000000000002,156
Burundi,2.905,157
Togo,2.839,158
