Country,Freedom
Denmark,0.5794100000000001
Switzerland,0.58557
Iceland,0.56624
Norway,0.59609
Finland,0.57104
Canada,0.5737
Netherlands,0.55211
New Zealand,0.5814699999999999
Australia,0.5683699999999999
Sweden,0.58218
Israel,0.36432
Austria,0.54355
United States,0.48163
Costa Rica,0.55225
Puerto Rico,0.46823000000000004
Germany,0.53466
Brazil,0.40425
Belgium,0.51354
Ireland,0.54008
Luxembourg,0.5487
Mexico,0.37709000000000004
Singapore,0.4877
United Kingdom,0.50036
Chile,0.37789
Panama,0.48927
Argentina,0.42283999999999994
Czech Republic,0.41418
United Arab Emirates,0.56215
Uruguay,0.54388
Malta,0.54994
Colombia,0.44735
France,0.46562
Thailand,0.49553
Saudi Arabia,0.37904
Taiwan,0.32377
Qatar,0.56679
Spain,0.37545
Algeria,0.21006
Guatemala,0.50379
Suriname,0.5223399999999999
Kuwait,0.43166000000000004
Bahrain,0.47375
Trinidad and Tobago,0.48453
Venezuela,0.19847
Slovakia,0.23390999999999998
El Salvador,0.37269
Malaysia,0.39031
Nicaragua,0.46581999999999996
Uzbekistan,0.60848
Italy,0.18827
Ecuador,0.4027
Belize,0.51231
Japan,0.46761
Kazakhstan,0.4052
Moldova,0.25201999999999997
Russia,0.32682
Poland,0.4519
South Korea,0.25168
Bolivia,0.50961
Lithuania,0.18929
Belarus,0.29091
North Cyprus,0.43596
Slovenia,0.53164
Peru,0.37501999999999996
Turkmenistan,0.37408
Mauritius,0.46145
Libya,0.40671999999999997
Latvia,0.27996
Cyprus,0.29507
Paraguay,0.46235
Romania,0.36712
Estonia,0.41511000000000003
Jamaica,0.43596999999999997
Croatia,0.23906999999999998
Hong Kong,0.48078999999999994
Somalia,0.5677800000000001
Kosovo,0.14396
Turkey,0.23889000000000002
Indonesia,0.39237
Jordan,0.36023
Azerbaijan,0.35327
Philippines,0.5485399999999999
China,0.44011999999999996
Bhutan,0.46074
Kyrgyzstan,0.40212
Serbia,0.15718
Bosnia and Herzegovina,0.09511
Montenegro,0.15111
Dominican Republic,0.52259
Morocco,0.25645999999999997
Hungary,0.1977
Pakistan,0.14622000000000002
Lebanon,0.26228
Portugal,0.44727
Macedonia,0.27668000000000004
Vietnam,0.5595399999999999
Somaliland Region,0.3913
Tunisia,0.23553000000000002
Greece,0.05822000000000001
Tajikistan,0.43408
Mongolia,0.35972
Laos,0.52168
Nigeria,0.27854
Honduras,0.26755
Iran,0.22544
Zambia,0.42662
Nepal,0.37012
Palestinian Territories,0.17744000000000001
Albania,0.31866
Bangladesh,0.39778
Sierra Leone,0.30685
Iraq,0.24856
Namibia,0.48613999999999996
Cameroon,0.42736
Ethiopia,0.36703
South Africa,0.42483000000000004
Sri Lanka,0.50817
India,0.40285
Myanmar,0.42691999999999997
Egypt,0.18847
Armenia,0.14037
Kenya,0.40576
Ukraine,0.12859
Ghana,0.40973000000000004
Congo (Kinshasa),0.15602
Georgia,0.32461
Congo (Brazzaville),0.37938
Senegal,0.31056
Bulgaria,0.21219000000000002
Mauritania,0.1268
Zimbabwe,0.25429
Malawi,0.4143
Sudan,0.0
Gabon,0.28098
Mali,0.27544
Haiti,0.12072000000000001
Botswana,0.44088999999999995
Comoros,0.15412
Ivory Coast,0.40663
Cambodia,0.5885199999999999
Angola,0.00589
Niger,0.38040999999999997
South Sudan,0.19662000000000002
Chad,0.12807000000000002
Burkina Faso,0.3337
Uganda,0.43653000000000003
Yemen,0.2287
Madagascar,0.13684000000000002
Tanzania,0.3176
Liberia,0.25748000000000004
Guinea,0.30953
Rwanda,0.5432
Benin,0.39747
Afghanistan,0.1643
Togo,0.34678000000000003
Syria,0.06912
Burundi,0.0432
